Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
Gamification Product Ops,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",1
 EMTEK Digital - Creative Design,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Ilmu Komunikasi, Management atau jurusan yang terkait dengan GPA >=3.0, semester 5-7
Memiliki background dalam bidang Graphic Design atau Visual Communication.
Memiliki basic knowledge dalam video editing, photo editing, atau motion graphic menjadi nilai plus.
Tidak sedang dalam menyelesaikan tugas akhir atau skripsi.
Komunikatif, aktif, resourceful.
Memiliki hobi
",4
EMTEK Digital - Marketing Supply,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana Jurusan media, ekonomi, IT atau bisnis dengan GPA >=3.0, semester 5-7
Mahir dalam menggunakan MS Office
Memiliki kemampuan multitasking dan inisiatif yang tinggi
Mampu belajar dan memproses informasi dengan cepat
Memiliki skill organisasi dan time management yang baik
Memiliki ketertarikan untuk bekerja di bidang marketing
Nyaman dengan lingkungan kerja yang fast-paced",2
Content Curation,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Penyiaran, Jurnalistik dan TV, Ilmu Komunikasi, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",9
Social Media Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa sedang menyelesaikan studi diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, atau jurusan terkait dengan IP GPA >=3.0, minimal semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah dengan baik
",4
Scriptwriter,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
Memiliki keterampilan komunikasi dan menulis yang sangat baik.
Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
Familiar dan bisa mengoperasikan aplikasi adobe
",2
Product Designer,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa perguruan tinggi aktif yang minimal semester 5 - 7
- Berasal dari Jurusan IT, DKV, atau program studi yang setara;
- Familiar dengan web technologies (HTML, CSS), browser compatibility, dan multi-platform design
- Familiar dengan wireframes, user flow diagrams, dan interactive prototypes
- Mampu berkomunikasi dengan baik dan bekerja dalam kelompok;
- Memiliki inisiatif tinggi;
",7
Test Engineering ,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Minimal Memiliki Device:
- OS: Linux Ubuntu / MacOS (iOS)
- Spec: RAM >=8gb, SSD >=240gb"" (non iOS)

Berasal dari Jurusan IT, atau program studi yang setara, semester 5 - 7
Familiar dengan bahasa pemrograman seperti :: Ruby, Java, Kotlin, C++
Mengerti dalam penggunaan SQL dan pengalaman menggunakan salah satu dari dari bahasa pemrograman berikut: PostgreSQL, MySQL, Oracle
Berpengalaman dalam menggunakan kerangka MVC : Rails, Spring, Play! (CodeIgniter tidak dihitung)",5
IT Operation,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"IT Operation (3 Orang) - Hybrid
Berasal dari Jurusan IT, atau program studi yang setara, semester 5 - 7
Familiar dengan pengoperasian sistem administrasi dari sebuah aplikasi.
Mengerti cara kerja komputer.
Berpengalaman dalam melakukan troubleshoot atau maintenance komputer
",3
Influencer/KOL,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa yang sedang menyelesaikan studi diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, atau jurusan terkait dengan IP GPA >=3.0, minimal semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah dengan baik

",2
Gamification Content Programing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",1
Brand Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki kemampuan analytical
- Memiliki kemampuan project management
- Memimiliki kemampuan branding dan strategic planning
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah

",2
Live Streaming Ops Engineer,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Berasal dari Jurusan IT, atau program studi yang setara, semester 5 - 7
Memiliki kemampuan basic dalam live streaming flow
Memiliki kemampuan basic dalam live server infrastructure
Memiliki kemampuan interpersonal dan komunikasi skill yang baik",3
Content Management,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah",10
Product Management,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Memiliki pemahaman mengenai product management
- Passionate dalam product management proses
- Mahasiswa perguruan tinggi aktif minimal semester 5 - 7
- Berasal dari Jurusan IT, atau program studi yang setara
",10
Content Partnership,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Penyiaran, Jurnalistik dan TV, Ilmu Komunikasi, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",8
CRM,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki kemampuan analytical
- Memiliki kemampuan project management
- Memimiliki kemampuan branding dan strategic planning
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",1
Network Engineer,Shaping A Cloud Digital Professional's Character (Bogor),IDCloudHost,Kota Bogor,"✓ Mahasiswa aktif semester 5 atau 6
✓ Berasal dari jurusan System Informasi, Teknik Informatika, atau yang setara
✓ Memiliki gairah dalam dunia IT
✓ Problem solver passion
✓ Memiliki pengetahuan konsep jaringan
✓ Memiliki pengetahuan tentang konfigurasi software jaringan
✓ Kemampuan bahasa Inggris yang cukup
✓ Memiliki dasar pengetahuan konsep open networking
✓ Nyaman bekerja sendiri maupun dalam kerja team
✓ Memiliki inisiatif (self driven)
✓ Bersedia ditempatkan di kantor cabang Bogor",5
Social Media Specialist ,Shaping A Cloud Digital Professional's Character (Pekanbaru),IDCloudHost,Kota Pekanbaru,"✓ Mahasiswa aktif semester 5 atau 6
✓ Berasal dari jurusan Manajemen Pemasaran, Ilmu Komunikasi, atau yang setara
✓ Memiliki gairah dalam dunia Social Media
✓ Memiliki pengetahuan yang cukup seputar social media planning serta pembuatan konten social media.
✓ Menguasai Bahasa Inggris Basic
✓ Memiliki kemampuan komunikasi verbal dan atau visual yang baik
✓ Kreatif dan inovatif yang dibuktikan dengan portofolio dan atau prestasi baik akademik maupun non akademis dan atau pengalaman organisasi yang relevan
✓ Nyaman bekerja sendiri maupun dalam kerja team
✓ Memiliki inisiatif (self driven)
✓ Bersedia ditempatkan di kantor cabang Pekanbaru",4
Sales & Business,Shaping A Cloud Digital Professional's Character (Sukabumi),IDCloudHost,Kab. Sukabumi,"Mahasiswa aktif semester 5 atau 6
Berasal dari jurusan Ilmu Komunikasi, Humas, Sastra, Psikologi, Manajemen, Marketing atau yang setara
Memiliki gairah melayani pelanggan
Problem solver passion
Kemampuan bahasa Inggris yang cukup
Kemampuan komunikasi yang baik
Memiliki kemampuan negosiasi
Kepatuhan pada prosedur dan peraturan
Menguasai MS Excel. MS Word, MS Powerpoint
Nyaman bekerja sendiri maupun dalam kerja team
Memiliki inisiatif (self driven)
Bersedia ditempatkan di kantor pusat Sukabumi",5
System Engineer,Shaping A Cloud Digital Professional's Character (Bogor),IDCloudHost,Kota Bogor,"Mahasiswa aktif semester 5 atau 6
✓Berasal dari jurusan System Informasi, Teknik Informatika, atau yang setara
✓Memiliki gairah dalam dunia IT
✓Memiliki pengetahuan tentang programming
✓Memiliki pengetahuan tentang automation
✓Kemampuan bahasa Inggris yang cukup
✓Memiliki dasar pengetahuan tentang server fisik dan virtual
✓Memiliki dasar pengetahuan tentang teknologi Clustering
✓Memiliki dasar pengetahuan tentang software defined storage
✓Memiliki dasar pengetahuan tentang sistem operasi Linux
✓Nyaman bekerja sendiri maupun dalam kerja team
✓Memiliki inisiatif (self driven)
✓Bersedia ditempatkan di kantor cabang Bogor",5
Customer Support,Shaping A Cloud Digital Professional's Character (Sukabumi),IDCloudHost,Kab. Sukabumi,"Mahasiswa aktif semester 5 atau 6
Berasal dari jurusan Ilmu Komunikasi, Ilmu Komputer,  Sistem Informasi,  Humas, Sastra, Psikologi, atau yang setara
Memiliki gairah melayani pelanggan
Problem solver passion
Kemampuan bahasa Inggris yang cukup
Kemampuan komunikasi yang baik
Memiliki kemampuan negosiasi
Kepatuhan pada prosedur dan peraturan
Menguasai MS Excel. MS Word, MS Powerpoint
Nyaman bekerja sendiri maupun dalam kerja team
Memiliki inisiatif (self driven)
Bersedia ditempatkan di kantor pusat Sukabumi",10
Designer,Shaping A Cloud Digital Professional's Character (Pekanbaru),IDCloudHost,Kota Pekanbaru,"✓Mahasiswa aktif semester 5 atau 6
✓Berasal dari jurusan Sastra, Jurnalistik, Ilmu Komunikasi, Humas, atau yang setara
✓Memiliki gairah dalam memproduksi konten kreatif
✓Memiliki pengetahuan yang cukup seputar penulisan, editing foto / video / text
✓Kemampuan bahasa Inggris yang cukup
✓Memiliki kemanpuan komunikasi verbal dan atau visual yang baik
✓Kreatif dan inovatif yang dibuktikan dengan portofolio dan atau prestasi baik akademismaupun non akademis dan atau pengalaman organisasi yang relevan
✓Nyaman bekerja sendiri maupun dalam kerja team
✓Memiliki inisiatif (self driven)
✓Bersedia ditempatkan di kantor cabang Pekanbaru
✓Observer’s Mind
✓Great Skills
✓Good Attitude
✓Meticulous
✓Proactive
✓Passion in Creative Thinking
✓Excellent Communication Skill
✓Skill in Photoshop/Illustrator/Figma",2
Program & Event Specialist,Shaping A Cloud Digital Professional's Character (Pekanbaru),IDCloudHost,Kota Pekanbaru,"✓ Mahasiswa aktif semester 5 atau 6
✓ Berasal dari jurusan Manajemen Pemasaran, Ilmu Komunikasi, atau yang setara
✓ Memiliki kemampuan bersosialisasi, komunikasi, koordinasi dan organisasi yang baik
✓ Menguasai kemampuan Bahasa Inggris Basic
✓ Kreatif dan inovatif yang dibuktikan dengan portofolio dan atau prestasi baik akademik maupun non akademis dan atau pengalaman organisasi yang relevan
✓ Nyaman bekerja sendiri maupun dalam kerja team
✓ Memiliki inisiatif (self driven)
✓ Bersedia ditempatkan di kantor cabang Pekanbaru",5
Content Writer,Shaping A Cloud Digital Professional's Character (Pekanbaru),IDCloudHost,Kota Pekanbaru,"✓ Mahasiswa aktif semester 5 atau 6
✓ Berasal dari jurusan Sastra, Jurnalistik, Ilmu Komunikasi, Humas, atau yang setara
✓ Memiliki ketertarikan dengan konten-konten teknologi, digital atau IT
✓ Memiliki gairah dalam memproduksi konten kreatif
✓ Memiliki pengetahuan yang cukup seputar penulisan.
✓ Menguasai Bahasa Inggris Basic
✓ Memiliki kemampuan komunikasi verbal dan atau visual yang baik
✓ Kreatif dan inovatif yang dibuktikan dengan portofolio dan atau prestasi baik akademik maupun non akademis dan atau pengalaman organisasi yang relevan
✓ Nyaman bekerja sendiri maupun dalam kerja team
✓ Memiliki inisiatif (self driven)
✓ Bersedia ditempatkan di kantor cabang Pekanbaru",5
Human Resources Officer,Shaping A Cloud Digital Professional's Character (Sukabumi),IDCloudHost,Kab. Sukabumi,"Mahasiswa aktif semester 5 atau 6
Berasal dari jurusan Manajemen SDM, Psikologi atau yang setara
Memiliki gairah dalam dunia Human Resources
Memiliki kemampuan komunikasi (verbal & written) yang baik
Perhatian terhadap hal detail
Menguasai MS Excel. MS Word, MS Powerpoint
Kemampuan bahasa Inggris yang cukup
Nyaman bekerja sendiri maupun dalam kerja team
Memiliki inisiatif (self driven)
Bersedia ditempatkan di kantor cabang Sukabumi",3
Video Editor,Shaping A Cloud Digital Professional's Character (Pekanbaru),IDCloudHost,Kota Pekanbaru,"✓ Mahasiswa aktif semester 5 atau 6
✓ Berasal dari jurusan Manajemen Pemasaran, Ilmu Komunikasi, atau yang setara
✓ Memiliki gairah dalam dunia editing video dan Digital Marketing
✓ Memiliki pengetahuan yang cukup seputar Video editing dan Digital Marketing
✓ Memiliki kemampuan komunikasi verbal dan atau visual yang baik
✓ Kreatif dan inovatif yang dibuktikan dengan portofolio dan atau prestasi baik akademik maupun non akademis dan atau pengalaman organisasi yang relevan
✓ Nyaman bekerja sendiri maupun dalam kerja team
✓ Memiliki inisiatif (self driven)
✓ Menguasai kemampuan dasar kepenulisan
✓ Bersedia ditempatkan di kantor cabang Pekanbaru",2
